study,subject_id,session_name,event_time_s,time_bin_start_s,event_label,source_filepath
1a,XIN1R,generalization_5k,6.165,5.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__14_55_00_Xin1R5k.csv
1a,XIN1G,generalization_5k,6.156,5.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__14_55_06_Xin1G5k.csv
1a,XIN1G,generalization_5k,138.656,135.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__14_55_06_Xin1G5k.csv
1a,XIN1G,generalization_5k,240.02,240.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__14_55_06_Xin1G5k.csv
1a,XIN1G,generalization_5k,373.091,370.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__14_55_06_Xin1G5k.csv
1a,XIN1G,generalization_5k,497.656,495.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__14_55_06_Xin1G5k.csv
1a,XIN1G,generalization_5k,538.896,535.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__14_55_06_Xin1G5k.csv
1a,XIN1B,generalization_5k,7.395,5.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_12_00_Xin1B.csv
1a,XIN1B,generalization_5k,212.365,210.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_12_00_Xin1B.csv
1a,XIN1B,generalization_5k,430.77,430.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_12_00_Xin1B.csv
1a,XIN4R,generalization_5k,7.38,5.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_12_06_Xin4R.csv
1a,XIN4G,generalization_5k,6.115,5.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_27_00_Xin4G.csv
1a,XIN4G,generalization_5k,129.535,125.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_27_00_Xin4G.csv
1a,XIN4G,generalization_5k,240.365,240.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_27_00_Xin4G.csv
1a,XIN4G,generalization_5k,425.801,425.0,rat press,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_27_00_Xin4G.csv
