study,subject_id,session_name,source_filepath,time_min,time_max,n_rows
1a,XIN1R,generalization_5k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__14_55_00_Xin1R5k.csv,0.0,569.92,24
1a,XIN1G,generalization_5k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__14_55_06_Xin1G5k.csv,0.0,569.9,163
1a,XIN1B,generalization_5k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_12_00_Xin1B.csv,0.0,558.75,76
1a,XIN4R,generalization_5k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_12_06_Xin4R.csv,0.0,558.765,34
1a,XIN4G,generalization_5k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_27_00_Xin4G.csv,0.0,554.205,171
1a,XIN4B,generalization_5k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_27_06_Xin4B.csv,0.0,554.18,238
1a,XIN2R,generalization_5k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_41_00_Xin2R.csv,0.0,555.41,341
1a,XIN2G,generalization_5k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_41_06_Xin2G.csv,0.0,555.375,193
1a,XIN2B,generalization_5k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_55_00_Xin2B.csv,0.0,558.305,64
1a,XIN3R,generalization_5k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__15_55_06_Xin3R.csv,0.0,558.285,176
1a,XIN3G,generalization_5k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__16_09_00_Xin3G.csv,0.0,556.46,385
1a,XIN3B,generalization_5k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 5KHZ/2024_04_27__16_09_06_Xin3B.csv,0.0,556.465,132
1a,XIN1R,generalization_7k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 7KHZ/2024_04_26__14_56_00_Xin1R7k.csv,0.0,556.355,26
1a,XIN1G,generalization_7k,研究1a/oringinaldata/leverpresses/Excel_GS4/GS4 7KHZ/2024_04_26__14_56_06_Xin1G7k.csv,0.0,556.345,34
