study,session_name,modality,total_bins,non_missing_bins,missing_bins,missing_pct,classification
1a,contextual_test,usv22,494,494,0,0.0,Complete
1a,contextual_test,usv50,494,494,0,0.0,Complete
1a,contextual_test,lever,494,494,0,0.0,Complete
1a,contextual_test,freezing,494,432,62,0.12550607287449392,Partial
1a,contextual_test,boli,494,0,494,1.0,Structural
1a,cue_test,usv22,1359,1359,0,0.0,Complete
1a,cue_test,usv50,1359,1359,0,0.0,Complete
1a,cue_test,lever,1359,1249,110,0.08094186902133922,Partial
1a,cue_test,freezing,1359,1296,63,0.046357615894039736,Partial
1a,cue_test,boli,1359,0,1359,1.0,Structural
1a,generalization_5k,usv22,1358,1358,0,0.0,Complete
1a,generalization_5k,usv50,1358,1358,0,0.0,Complete
1a,generalization_5k,lever,1358,1358,0,0.0,Complete
1a,generalization_5k,freezing,1358,1296,62,0.045655375552282766,Partial
1a,generalization_5k,boli,1358,0,1358,1.0,Structural
1a,generalization_7k,usv22,1360,1360,0,0.0,Complete
1a,generalization_7k,usv50,1360,1360,0,0.0,Complete
1a,generalization_7k,lever,1360,1360,0,0.0,Complete
1a,generalization_7k,freezing,1360,1296,64,0.047058823529411764,Partial
1a,generalization_7k,boli,1360,0,1360,1.0,Structural
1a,learning,usv22,2908,2908,0,0.0,Complete
1a,learning,usv50,2908,2908,0,0.0,Complete
1a,learning,lever,2908,2908,0,0.0,Complete
1a,learning,freezing,2908,2736,172,0.059147180192572216,Partial
1a,learning,boli,2908,0,2908,1.0,Structural
1a,retest_cue,usv22,1378,1266,112,0.08127721335268505,Partial
1a,retest_cue,usv50,1378,1266,112,0.08127721335268505,Partial
1a,retest_cue,lever,1378,1378,0,0.0,Complete
1a,retest_cue,freezing,1378,0,1378,1.0,Structural
1a,retest_cue,boli,1378,0,1378,1.0,Structural
1b,contextual_test,usv22,432,0,432,1.0,Structural
1b,contextual_test,usv50,432,0,432,1.0,Structural
1b,contextual_test,lever,432,0,432,1.0,Structural
1b,contextual_test,freezing,432,432,0,0.0,Complete
1b,contextual_test,boli,432,0,432,1.0,Structural
1b,cue_test,usv22,1296,0,1296,1.0,Structural
1b,cue_test,usv50,1296,0,1296,1.0,Structural
1b,cue_test,lever,1296,0,1296,1.0,Structural
1b,cue_test,freezing,1296,1296,0,0.0,Complete
1b,cue_test,boli,1296,0,1296,1.0,Structural
1b,pretest_contextual,usv22,494,494,0,0.0,Complete
1b,pretest_contextual,usv50,494,494,0,0.0,Complete
1b,pretest_contextual,lever,494,494,0,0.0,Complete
1b,pretest_contextual,freezing,494,0,494,1.0,Structural
1b,pretest_contextual,boli,494,0,494,1.0,Structural
1b,pretest_cue,usv22,1340,1340,0,0.0,Complete
1b,pretest_cue,usv50,1340,1340,0,0.0,Complete
1b,pretest_cue,lever,1340,1249,91,0.06791044776119402,Partial
1b,pretest_cue,freezing,1340,0,1340,1.0,Structural
1b,pretest_cue,boli,1340,0,1340,1.0,Structural
1b,retest_contextual,usv22,516,516,0,0.0,Complete
1b,retest_contextual,usv50,516,516,0,0.0,Complete
1b,retest_contextual,lever,516,516,0,0.0,Complete
1b,retest_contextual,freezing,516,432,84,0.16279069767441862,Partial
1b,retest_contextual,boli,516,0,516,1.0,Structural
1b,retest_cue,usv22,1364,1364,0,0.0,Complete
1b,retest_cue,usv50,1364,1364,0,0.0,Complete
1b,retest_cue,lever,1364,1364,0,0.0,Complete
1b,retest_cue,freezing,1364,1296,68,0.04985337243401759,Partial
1b,retest_cue,boli,1364,0,1364,1.0,Structural
1b,retest_lever_baseline,usv22,8653,0,8653,1.0,Structural
1b,retest_lever_baseline,usv50,8653,0,8653,1.0,Structural
1b,retest_lever_baseline,lever,8653,8653,0,0.0,Complete
1b,retest_lever_baseline,freezing,8653,0,8653,1.0,Structural
1b,retest_lever_baseline,boli,8653,0,8653,1.0,Structural
2,LTM1,usv22,2258,2150,108,0.047829937998228524,Partial
2,LTM1,usv50,2258,2150,108,0.047829937998228524,Partial
2,LTM1,lever,2258,0,2258,1.0,Structural
2,LTM1,freezing,2258,2232,26,0.011514614703277236,Partial
2,LTM1,boli,2258,2258,0,0.0,Complete
2,LTM2,usv22,2737,2737,0,0.0,Complete
2,LTM2,usv50,2737,2737,0,0.0,Complete
2,LTM2,lever,2737,2737,0,0.0,Complete
2,LTM2,freezing,2737,2664,73,0.026671538180489587,Partial
2,LTM2,boli,2737,2737,0,0.0,Complete
2,extinction1,usv22,9987,9587,400,0.040052067687994394,Partial
2,extinction1,usv50,9987,9587,400,0.040052067687994394,Partial
2,extinction1,lever,9987,9987,0,0.0,Complete
2,extinction1,freezing,9987,9900,87,0.00871132472213878,Partial
2,extinction1,boli,9987,9987,0,0.0,Complete
2,extinction2,usv22,6890,6488,402,0.05834542815674891,Partial
2,extinction2,usv50,6890,6488,402,0.05834542815674891,Partial
2,extinction2,lever,6890,6098,792,0.11494920174165457,Partial
2,extinction2,freezing,6890,6732,158,0.02293178519593614,Partial
2,extinction2,boli,6890,6890,0,0.0,Complete
2,extinction3,usv22,6834,6834,0,0.0,Complete
2,extinction3,usv50,6834,6834,0,0.0,Complete
2,extinction3,lever,6834,6834,0,0.0,Complete
2,extinction3,freezing,6834,6732,102,0.014925373134328358,Partial
2,extinction3,boli,6834,6834,0,0.0,Complete
2,extinction4,usv22,6818,6818,0,0.0,Complete
2,extinction4,usv50,6818,6818,0,0.0,Complete
2,extinction4,lever,6818,6818,0,0.0,Complete
2,extinction4,freezing,6818,6732,86,0.01261366969785861,Partial
2,extinction4,boli,6818,6818,0,0.0,Complete
2,learning,usv22,3910,3910,0,0.0,Complete
2,learning,usv50,3910,3910,0,0.0,Complete
2,learning,lever,3910,3910,0,0.0,Complete
2,learning,freezing,3910,3876,34,0.008695652173913044,Partial
2,learning,boli,3910,3910,0,0.0,Complete
2,lever_training,usv22,8180,0,8180,1.0,Structural
2,lever_training,usv50,8180,0,8180,1.0,Structural
2,lever_training,lever,8180,8180,0,0.0,Complete
2,lever_training,freezing,8180,0,8180,1.0,Structural
2,lever_training,boli,8180,0,8180,1.0,Structural
2,renewal,usv22,2291,2180,111,0.04845045831514622,Partial
2,renewal,usv50,2291,2180,111,0.04845045831514622,Partial
2,renewal,lever,2291,2291,0,0.0,Complete
2,renewal,freezing,2291,2232,59,0.0257529463116543,Partial
2,renewal,boli,2291,2291,0,0.0,Complete
2,retrieval,usv22,1307,1230,77,0.05891354246365723,Partial
2,retrieval,usv50,1307,1230,77,0.05891354246365723,Partial
2,retrieval,lever,1307,1307,0,0.0,Complete
2,retrieval,freezing,1307,1224,83,0.06350420811017597,Partial
2,retrieval,boli,1307,1307,0,0.0,Complete
