study,subject_id,session_name,time_min,time_max,usv_recorded,lever_recorded,freezing_recorded,boli_recorded,group_guess,context_guess
1a,XIN1B,contextual_test,0.0,200.0,True,True,True,False,shock,A
1a,XIN1B,cue_test,0.0,560.0,True,True,True,False,shock,B
1a,XIN1B,generalization_5k,0.0,560.0,True,True,True,False,shock,B
1a,XIN1B,generalization_7k,0.0,560.0,True,True,True,False,shock,B
1a,XIN1B,learning,0.0,1170.0,True,True,True,False,shock,A
1a,XIN1B,retest_cue,0.0,565.0,True,True,False,False,shock,B
1a,XIN1G,contextual_test,0.0,210.0,True,True,True,False,shock,A
1a,XIN1G,cue_test,0.0,545.0,True,False,True,False,shock,B
1a,XIN1G,generalization_5k,0.0,570.0,True,True,True,False,shock,B
1a,XIN1G,generalization_7k,0.0,560.0,True,True,True,False,shock,B
1a,XIN1G,learning,0.0,1165.0,True,True,True,False,shock,A
1a,XIN1G,retest_cue,0.0,570.0,True,True,False,False,shock,B
1a,XIN1R,contextual_test,0.0,210.0,True,True,True,False,shock,A
1a,XIN1R,cue_test,0.0,575.0,True,True,True,False,shock,B
1a,XIN1R,generalization_5k,0.0,570.0,True,True,True,False,shock,B
1a,XIN1R,generalization_7k,0.0,560.0,True,True,True,False,shock,B
1a,XIN1R,learning,0.0,1165.0,True,True,True,False,shock,A
1a,XIN1R,retest_cue,0.0,570.0,True,True,False,False,shock,B
1a,XIN2B,contextual_test,0.0,200.0,True,True,True,False,control,A
1a,XIN2B,cue_test,0.0,560.0,True,True,True,False,control,B
1a,XIN2B,generalization_5k,0.0,560.0,True,True,True,False,control,B
1a,XIN2B,generalization_7k,0.0,560.0,True,True,True,False,control,B
1a,XIN2B,learning,0.0,1165.0,True,True,True,False,control,A
1a,XIN2B,retest_cue,0.0,560.0,True,True,False,False,control,B
1a,XIN2G,contextual_test,0.0,195.0,True,True,True,False,control,A
1a,XIN2G,cue_test,0.0,565.0,True,True,True,False,control,B
1a,XIN2G,generalization_5k,0.0,560.0,True,True,True,False,control,B
1a,XIN2G,generalization_7k,0.0,560.0,True,True,True,False,control,B
1a,XIN2G,learning,0.0,1165.0,True,True,True,False,control,A
1a,XIN2G,retest_cue,0.0,555.0,False,True,False,False,control,B
1a,XIN2R,contextual_test,0.0,195.0,True,True,True,False,control,A
1a,XIN2R,cue_test,0.0,565.0,True,True,True,False,control,B
1a,XIN2R,generalization_5k,0.0,560.0,True,True,True,False,control,B
1a,XIN2R,generalization_7k,0.0,560.0,True,True,True,False,control,B
1a,XIN2R,learning,0.0,1165.0,True,True,True,False,control,A
1a,XIN2R,retest_cue,0.0,555.0,True,True,False,False,control,B
1a,XIN3B,contextual_test,0.0,200.0,True,True,True,False,control,A
1a,XIN3B,cue_test,0.0,565.0,True,True,True,False,control,B
1a,XIN3B,generalization_5k,0.0,560.0,True,True,True,False,control,B
1a,XIN3B,generalization_7k,0.0,565.0,True,True,True,False,control,B
1a,XIN3B,learning,0.0,1400.0,True,True,True,False,control,A
1a,XIN3B,retest_cue,0.0,605.0,True,True,False,False,control,B
1a,XIN3G,contextual_test,0.0,200.0,True,True,True,False,control,A
1a,XIN3G,cue_test,0.0,560.0,True,True,True,False,control,B
1a,XIN3G,generalization_5k,0.0,560.0,True,True,True,False,control,B
1a,XIN3G,generalization_7k,0.0,565.0,True,True,True,False,control,B
1a,XIN3G,learning,0.0,1400.0,True,True,True,False,control,A
1a,XIN3G,retest_cue,0.0,605.0,True,True,False,False,control,B
1a,XIN3R,contextual_test,0.0,200.0,True,True,True,False,control,A
