source_filepath,n_raw_rows,subject_id,session_name,band,error,study,score,n_raw_rows_filled
研究1a/oringinaldata/22kHz Matlab export/cue test/Xin1Bcue 2024-04-26  1_46 PM_Stats.xlsx,274.0,XIN1B,cue_test,22,,1a,15,274.0
研究1a/oringinaldata/22kHz Matlab export/cue test/Xin1Gcue 2024-04-26  1_47 PM_Stats.xlsx,102.0,XIN1G,cue_test,22,,1a,15,102.0
研究1a/oringinaldata/22kHz Matlab export/cue test/Xin1Rcue 2024-04-26  1_48 PM_Stats.xlsx,230.0,XIN1R,cue_test,22,,1a,15,230.0
研究1a/oringinaldata/22kHz Matlab export/cue test/Xin4Bcue 2024-04-26  1_49 PM_Stats.xlsx,80.0,XIN4B,cue_test,22,,1a,15,80.0
研究1a/oringinaldata/22kHz Matlab export/cue test/Xin4Rcue 2024-04-26  1_51 PM_Stats.xlsx,30.0,XIN4R,cue_test,22,,1a,15,30.0
研究1a/oringinaldata/22kHz Matlab export/generalization 5kHz/Xin1G5k 2024-04-29  7_04 PM_Stats.xlsx,8.0,XIN1G,generalization_5k,22,,1a,15,8.0
研究1a/oringinaldata/22kHz Matlab export/generalization 5kHz/Xin1R5k 2024-04-29  6_46 PM_Stats.xlsx,27.0,XIN1R,generalization_5k,22,,1a,15,27.0
研究1a/oringinaldata/22kHz Matlab export/generalization 7kHz/Xin1B7k 2024-04-28  6_36 PM_Stats.xlsx,128.0,XIN1B,generalization_7k,22,,1a,15,128.0
研究1a/oringinaldata/22kHz Matlab export/generalization 7kHz/Xin1G7k 2024-04-28  6_37 PM_Stats.xlsx,137.0,XIN1G,generalization_7k,22,,1a,15,137.0
研究1a/oringinaldata/22kHz Matlab export/generalization 7kHz/Xin1R7k 2024-04-28  6_38 PM_Stats.xlsx,152.0,XIN1R,generalization_7k,22,,1a,15,152.0
研究1a/oringinaldata/22kHz Matlab export/learning/Xin1Bcue 2024-04-26  1_46 PM_Stats.xlsx,274.0,XIN1B,cue_test,22,,1a,-30,274.0
研究1a/oringinaldata/22kHz Matlab export/learning/Xin1Gcue 2024-04-26  1_47 PM_Stats.xlsx,103.0,XIN1G,cue_test,22,,1a,-30,103.0
研究1a/oringinaldata/22kHz Matlab export/learning/Xin1Rcue 2024-04-26  1_48 PM_Stats.xlsx,231.0,XIN1R,cue_test,22,,1a,-30,231.0
研究1a/oringinaldata/22kHz Matlab export/learning/Xin4Bcue 2024-04-26  1_49 PM_Stats.xlsx,81.0,XIN4B,cue_test,22,,1a,-30,81.0
研究1a/oringinaldata/22kHz Matlab export/learning/Xin4Rcue 2024-04-26  1_51 PM_Stats.xlsx,31.0,XIN4R,cue_test,22,,1a,-30,31.0
研究1a/oringinaldata/22kHz Matlab export/learning/learn/Xin1Blearn 2024-04-25  4_28 PM_Stats.xlsx,142.0,XIN1B,learning,22,,1a,15,142.0
研究1a/oringinaldata/22kHz Matlab export/learning/learn/Xin1Glearn 2024-04-25  7_08 PM_Stats.xlsx,137.0,XIN1G,learning,22,,1a,15,137.0
研究1a/oringinaldata/22kHz Matlab export/learning/learn/Xin4Blearn 2024-04-25  7_12 PM_Stats.xlsx,118.0,XIN4B,learning,22,,1a,15,118.0
研究1a/oringinaldata/22kHz Matlab export/learning/learn/Xin4Glearn 2024-04-25  7_14 PM_Stats.xlsx,194.0,XIN4G,learning,22,,1a,15,194.0
研究1a/oringinaldata/22kHz Matlab export/learning/learn/Xin4Rlearn 2024-04-25  7_16 PM_Stats.xlsx,63.0,XIN4R,learning,22,,1a,15,63.0
研究1a/oringinaldata/22kHz Matlab export/retest/Xin1Bre 2024-09-06 12_19 PM_Stats.xlsx,9.0,XIN1B,retest_cue,22,,1a,15,9.0
研究1a/oringinaldata/22kHz Matlab export/retest/Xin1Rre 2024-09-06 12_12 PM_Stats.xlsx,74.0,XIN1R,retest_cue,22,,1a,15,74.0
研究1a/oringinaldata/50kHz Matlab export/context/Xin1Bcontext 2024-04-29  8_41 PM_Stats.xlsx,90.0,XIN1B,contextual_test,50,,1a,15,90.0
研究1a/oringinaldata/50kHz Matlab export/context/Xin1Gcontext 2024-04-29  8_21 PM_Stats.xlsx,1.0,XIN1G,contextual_test,50,,1a,15,1.0
研究1a/oringinaldata/50kHz Matlab export/context/Xin1Rcontext 2024-04-29  8_07 PM_Stats.xlsx,10.0,XIN1R,contextual_test,50,,1a,15,10.0
研究1a/oringinaldata/50kHz Matlab export/context/Xin2Bcontext 2024-04-29  9_19 PM_Stats.xlsx,114.0,XIN2B,contextual_test,50,,1a,15,114.0
研究1a/oringinaldata/50kHz Matlab export/context/Xin2Gcontext 2024-04-29  9_04 PM_Stats.xlsx,2.0,XIN2G,contextual_test,50,,1a,15,2.0
研究1a/oringinaldata/50kHz Matlab export/context/Xin2Rcontext 2024-04-29  8_46 PM_Stats.xlsx,135.0,XIN2R,contextual_test,50,,1a,15,135.0
研究1a/oringinaldata/50kHz Matlab export/context/Xin3Bcontext 2024-04-30  2_08 PM_Stats.xlsx,13.0,XIN3B,contextual_test,50,,1a,15,13.0
研究1a/oringinaldata/50kHz Matlab export/context/Xin3Gcontext 2024-04-30  2_08 PM_Stats.xlsx,78.0,XIN3G,contextual_test,50,,1a,15,78.0
研究1a/oringinaldata/50kHz Matlab export/context/Xin3Rcontext 2024-04-29  9_27 PM_Stats.xlsx,111.0,XIN3R,contextual_test,50,,1a,15,111.0
研究1a/oringinaldata/50kHz Matlab export/context/Xin4Bcontext 2024-04-29  9_59 PM_Stats.xlsx,17.0,XIN4B,contextual_test,50,,1a,15,17.0
研究1a/oringinaldata/50kHz Matlab export/context/Xin4Gcontext 2024-04-29  9_48 PM_Stats.xlsx,68.0,XIN4G,contextual_test,50,,1a,15,68.0
研究1a/oringinaldata/50kHz Matlab export/context/Xin4Rcontext 2024-04-29  9_39 PM_Stats.xlsx,2.0,XIN4R,contextual_test,50,,1a,15,2.0
研究1a/oringinaldata/50kHz Matlab export/cue test/Xin1Bcue 2024-04-30 10_21 AM_Stats.xlsx,8.0,XIN1B,cue_test,50,,1a,15,8.0
研究1a/oringinaldata/50kHz Matlab export/cue test/Xin1Gcue 2024-04-30 10_09 AM_Stats.xlsx,8.0,XIN1G,cue_test,50,,1a,15,8.0
研究1a/oringinaldata/50kHz Matlab export/cue test/Xin1Rcue 2024-04-30  9_49 AM_Stats.xlsx,13.0,XIN1R,cue_test,50,,1a,15,13.0
研究1a/oringinaldata/50kHz Matlab export/cue test/Xin2Bcue 2024-04-30 10_44 AM_Stats.xlsx,19.0,XIN2B,cue_test,50,,1a,15,19.0
研究1a/oringinaldata/50kHz Matlab export/cue test/Xin2Gcue 2024-04-30 10_41 AM_Stats.xlsx,2.0,XIN2G,cue_test,50,,1a,15,2.0
研究1a/oringinaldata/50kHz Matlab export/cue test/Xin2Rcue 2024-04-30 10_27 AM_Stats.xlsx,106.0,XIN2R,cue_test,50,,1a,15,106.0
研究1a/oringinaldata/50kHz Matlab export/cue test/Xin3Bcue 2024-04-30 11_05 AM_Stats.xlsx,11.0,XIN3B,cue_test,50,,1a,15,11.0
研究1a/oringinaldata/50kHz Matlab export/cue test/Xin3Gcue 2024-04-30 10_57 AM_Stats.xlsx,50.0,XIN3G,cue_test,50,,1a,15,50.0
研究1a/oringinaldata/50kHz Matlab export/cue test/Xin3Rcue 2024-04-30 10_49 AM_Stats.xlsx,12.0,XIN3R,cue_test,50,,1a,15,12.0
研究1a/oringinaldata/50kHz Matlab export/cue test/Xin4Bcue 2024-04-30 11_25 AM_Stats.xlsx,11.0,XIN4B,cue_test,50,,1a,15,11.0
研究1a/oringinaldata/50kHz Matlab export/cue test/Xin4Gcue 2024-04-30 11_16 AM_Stats.xlsx,13.0,XIN4G,cue_test,50,,1a,15,13.0
研究1a/oringinaldata/50kHz Matlab export/cue test/Xin4Rcue 2024-04-30 11_11 AM_Stats.xlsx,6.0,XIN4R,cue_test,50,,1a,15,6.0
研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin1B5k 2024-04-30  9_54 AM_Stats.xlsx,9.0,XIN1B,generalization_5k,50,,1a,15,9.0
研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin1G5k 2024-04-30 10_04 AM_Stats.xlsx,30.0,XIN1G,generalization_5k,50,,1a,15,30.0
研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin1R5k 2024-04-30  9_55 AM_Stats.xlsx,10.0,XIN1R,generalization_5k,50,,1a,15,10.0
研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin2B5k 2024-04-30 10_28 AM_Stats.xlsx,215.0,XIN2B,generalization_5k,50,,1a,15,215.0
研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin2G5k 2024-04-30  9_56 AM_Stats.xlsx,2.0,XIN2G,generalization_5k,50,,1a,15,2.0
研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin2R5k 2024-04-30 10_15 AM_Stats.xlsx,134.0,XIN2R,generalization_5k,50,,1a,15,134.0
研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin3B5k 2024-04-30 11_02 AM_Stats.xlsx,3.0,XIN3B,generalization_5k,50,,1a,15,3.0
研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin3G5k 2024-04-30 10_56 AM_Stats.xlsx,69.0,XIN3G,generalization_5k,50,,1a,15,69.0
研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin3R5k 2024-04-30 10_49 AM_Stats.xlsx,76.0,XIN3R,generalization_5k,50,,1a,15,76.0
研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin4B5k 2024-04-30 11_14 AM_Stats.xlsx,3.0,XIN4B,generalization_5k,50,,1a,15,3.0
研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin4G5k 2024-04-30 11_07 AM_Stats.xlsx,66.0,XIN4G,generalization_5k,50,,1a,15,66.0
研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin4R5k 2024-04-30  9_58 AM_Stats.xlsx,8.0,XIN4R,generalization_5k,50,,1a,15,8.0
研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin1B7k 2024-04-29 11_17 PM_Stats.xlsx,12.0,XIN1B,generalization_7k,50,,1a,15,12.0
研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin1G7k 2024-04-29 11_18 PM_Stats.xlsx,32.0,XIN1G,generalization_7k,50,,1a,15,32.0
研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin1R7k 2024-04-29 11_19 PM_Stats.xlsx,19.0,XIN1R,generalization_7k,50,,1a,15,19.0
研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin2B7k 2024-04-30 12_14 AM_Stats.xlsx,14.0,XIN2B,generalization_7k,50,,1a,15,14.0
研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin2G7k 2024-04-30 12_14 AM_Stats.xlsx,10.0,XIN2G,generalization_7k,50,,1a,15,10.0
研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin2R7k 2024-04-30 12_05 AM_Stats.xlsx,105.0,XIN2R,generalization_7k,50,,1a,15,105.0
研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin3B7k 2024-04-30 12_14 AM_Stats.xlsx,6.0,XIN3B,generalization_7k,50,,1a,15,6.0
研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin3G7k 2024-04-30 12_15 AM_Stats.xlsx,65.0,XIN3G,generalization_7k,50,,1a,15,65.0
研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin3R7k 2024-04-30 12_15 AM_Stats.xlsx,8.0,XIN3R,generalization_7k,50,,1a,15,8.0
研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin4B7k 2024-04-30 12_16 AM_Stats.xlsx,13.0,XIN4B,generalization_7k,50,,1a,15,13.0
研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin4G7k 2024-04-30 12_16 AM_Stats.xlsx,18.0,XIN4G,generalization_7k,50,,1a,15,18.0
研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin4R7k 2024-04-30 12_17 AM_Stats.xlsx,8.0,XIN4R,generalization_7k,50,,1a,15,8.0
研究1a/oringinaldata/50kHz Matlab export/learning/Xin1Blearn 2024-04-29  8_34 PM_Stats.xlsx,133.0,XIN1B,learning,50,,1a,0,133.0
研究1a/oringinaldata/50kHz Matlab export/learning/Xin1Glearn 2024-04-29  8_28 PM_Stats.xlsx,31.0,XIN1G,learning,50,,1a,0,31.0
研究1a/oringinaldata/50kHz Matlab export/learning/Xin1Rlearn 2024-04-29  8_06 PM_Stats.xlsx,96.0,XIN1R,learning,50,,1a,0,96.0
研究1a/oringinaldata/50kHz Matlab export/learning/Xin2Bcontrol 2024-04-29  8_55 PM_Stats.xlsx,32.0,XIN2B,learning,50,,1a,0,32.0
研究1a/oringinaldata/50kHz Matlab export/learning/Xin2Gcontrol 2024-04-29  8_52 PM_Stats.xlsx,6.0,XIN2G,learning,50,,1a,0,6.0
研究1a/oringinaldata/50kHz Matlab export/learning/Xin2Rcontrol 2024-04-29  8_47 PM_Stats.xlsx,211.0,XIN2R,learning,50,,1a,0,211.0
研究1a/oringinaldata/50kHz Matlab export/learning/Xin3Bcontrol 2024-04-29  9_33 PM_Stats.xlsx,36.0,XIN3B,learning,50,,1a,0,36.0
研究1a/oringinaldata/50kHz Matlab export/learning/Xin3Gcontrol 2024-04-29  9_21 PM_Stats.xlsx,121.0,XIN3G,learning,50,,1a,0,121.0
研究1a/oringinaldata/50kHz Matlab export/learning/Xin3Rcontrol 2024-04-29  9_08 PM_Stats.xlsx,139.0,XIN3R,learning,50,,1a,0,139.0
研究1a/oringinaldata/50kHz Matlab export/learning/Xin4Blearn 2024-04-29  9_58 PM_Stats.xlsx,45.0,XIN4B,learning,50,,1a,0,45.0
研究1a/oringinaldata/50kHz Matlab export/learning/Xin4Glearn 2024-04-29  9_44 PM_Stats.xlsx,167.0,XIN4G,learning,50,,1a,0,167.0
研究1a/oringinaldata/50kHz Matlab export/learning/Xin4Rlearn 2024-04-29  9_39 PM_Stats.xlsx,31.0,XIN4R,learning,50,,1a,0,31.0
研究1a/oringinaldata/50kHz Matlab export/retest/Xin1Bre 2024-09-05  4_54 PM_Stats.xlsx,43.0,XIN1B,retest_cue,50,,1a,15,43.0
研究1a/oringinaldata/50kHz Matlab export/retest/Xin1Gre 2024-09-05  4_48 PM_Stats.xlsx,22.0,XIN1G,retest_cue,50,,1a,15,22.0
研究1a/oringinaldata/50kHz Matlab export/retest/Xin1Rre 2024-09-05  4_40 PM_Stats.xlsx,32.0,XIN1R,retest_cue,50,,1a,15,32.0
研究1a/oringinaldata/50kHz Matlab export/retest/Xin2Bre 2024-09-05  5_30 PM_Stats.xlsx,170.0,XIN2B,retest_cue,50,,1a,15,170.0
研究1a/oringinaldata/50kHz Matlab export/retest/Xin2Rre 2024-09-05  5_04 PM_Stats.xlsx,116.0,XIN2R,retest_cue,50,,1a,15,116.0
研究1a/oringinaldata/50kHz Matlab export/retest/Xin3Bre 2024-09-06 10_48 AM_Stats.xlsx,16.0,XIN3B,retest_cue,50,,1a,15,16.0
研究1a/oringinaldata/50kHz Matlab export/retest/Xin3Gre 2024-09-06 10_41 AM_Stats.xlsx,35.0,XIN3G,retest_cue,50,,1a,15,35.0
研究1a/oringinaldata/50kHz Matlab export/retest/Xin3Rre 2024-09-05 10_01 PM_Stats.xlsx,100.0,XIN3R,retest_cue,50,,1a,15,100.0
研究1a/oringinaldata/50kHz Matlab export/retest/Xin4Bre 2024-09-06 11_06 AM_Stats.xlsx,17.0,XIN4B,retest_cue,50,,1a,15,17.0
研究1a/oringinaldata/50kHz Matlab export/retest/Xin4Gre 2024-09-06 11_01 AM_Stats.xlsx,47.0,XIN4G,retest_cue,50,,1a,15,47.0
研究1a/oringinaldata/50kHz Matlab export/retest/Xin4Rre 2024-09-06 10_53 AM_Stats.xlsx,15.0,XIN4R,retest_cue,50,,1a,15,15.0
研究1b/oringinaldata/22kHz USVs/cue test/前测/Xin1Bcue 2024-04-26  1_46 PM_Stats.xlsx,274.0,XIN1B,pretest_cue,22,,1b,0,274.0
研究1b/oringinaldata/22kHz USVs/cue test/前测/Xin1Gcue 2024-04-26  1_47 PM_Stats.xlsx,102.0,XIN1G,pretest_cue,22,,1b,0,102.0
研究1b/oringinaldata/22kHz USVs/cue test/前测/Xin1Rcue 2024-04-26  1_48 PM_Stats.xlsx,230.0,XIN1R,pretest_cue,22,,1b,0,230.0
研究1b/oringinaldata/22kHz USVs/cue test/前测/Xin4Bcue 2024-04-26  1_49 PM_Stats.xlsx,80.0,XIN4B,pretest_cue,22,,1b,0,80.0
研究1b/oringinaldata/22kHz USVs/cue test/前测/Xin4Rcue 2024-04-26  1_51 PM_Stats.xlsx,30.0,XIN4R,pretest_cue,22,,1b,0,30.0
