study,subject_id,session_name,band,source_filepath,score,n_raw_rows
1a,XIN1B,contextual_test,50,研究1a/oringinaldata/50kHz Matlab export/context/Xin1Bcontext 2024-04-29  8_41 PM_Stats.xlsx,15,90.0
1a,XIN1B,cue_test,22,研究1a/oringinaldata/22kHz Matlab export/cue test/Xin1Bcue 2024-04-26  1_46 PM_Stats.xlsx,15,274.0
1a,XIN1B,cue_test,50,研究1a/oringinaldata/50kHz Matlab export/cue test/Xin1Bcue 2024-04-30 10_21 AM_Stats.xlsx,15,8.0
1a,XIN1B,generalization_5k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin1B5k 2024-04-30  9_54 AM_Stats.xlsx,15,9.0
1a,XIN1B,generalization_7k,22,研究1a/oringinaldata/22kHz Matlab export/generalization 7kHz/Xin1B7k 2024-04-28  6_36 PM_Stats.xlsx,15,128.0
1a,XIN1B,generalization_7k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin1B7k 2024-04-29 11_17 PM_Stats.xlsx,15,12.0
1a,XIN1B,learning,22,研究1a/oringinaldata/22kHz Matlab export/learning/learn/Xin1Blearn 2024-04-25  4_28 PM_Stats.xlsx,15,142.0
1a,XIN1B,learning,50,研究1a/oringinaldata/50kHz Matlab export/learning/Xin1Blearn 2024-04-29  8_34 PM_Stats.xlsx,0,133.0
1a,XIN1B,retest_cue,22,研究1a/oringinaldata/22kHz Matlab export/retest/Xin1Bre 2024-09-06 12_19 PM_Stats.xlsx,15,9.0
1a,XIN1B,retest_cue,50,研究1a/oringinaldata/50kHz Matlab export/retest/Xin1Bre 2024-09-05  4_54 PM_Stats.xlsx,15,43.0
1a,XIN1G,contextual_test,50,研究1a/oringinaldata/50kHz Matlab export/context/Xin1Gcontext 2024-04-29  8_21 PM_Stats.xlsx,15,1.0
1a,XIN1G,cue_test,22,研究1a/oringinaldata/22kHz Matlab export/cue test/Xin1Gcue 2024-04-26  1_47 PM_Stats.xlsx,15,102.0
1a,XIN1G,cue_test,50,研究1a/oringinaldata/50kHz Matlab export/cue test/Xin1Gcue 2024-04-30 10_09 AM_Stats.xlsx,15,8.0
1a,XIN1G,generalization_5k,22,研究1a/oringinaldata/22kHz Matlab export/generalization 5kHz/Xin1G5k 2024-04-29  7_04 PM_Stats.xlsx,15,8.0
1a,XIN1G,generalization_5k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin1G5k 2024-04-30 10_04 AM_Stats.xlsx,15,30.0
1a,XIN1G,generalization_7k,22,研究1a/oringinaldata/22kHz Matlab export/generalization 7kHz/Xin1G7k 2024-04-28  6_37 PM_Stats.xlsx,15,137.0
1a,XIN1G,generalization_7k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin1G7k 2024-04-29 11_18 PM_Stats.xlsx,15,32.0
1a,XIN1G,learning,22,研究1a/oringinaldata/22kHz Matlab export/learning/learn/Xin1Glearn 2024-04-25  7_08 PM_Stats.xlsx,15,137.0
1a,XIN1G,learning,50,研究1a/oringinaldata/50kHz Matlab export/learning/Xin1Glearn 2024-04-29  8_28 PM_Stats.xlsx,0,31.0
1a,XIN1G,retest_cue,50,研究1a/oringinaldata/50kHz Matlab export/retest/Xin1Gre 2024-09-05  4_48 PM_Stats.xlsx,15,22.0
1a,XIN1R,contextual_test,50,研究1a/oringinaldata/50kHz Matlab export/context/Xin1Rcontext 2024-04-29  8_07 PM_Stats.xlsx,15,10.0
1a,XIN1R,cue_test,22,研究1a/oringinaldata/22kHz Matlab export/cue test/Xin1Rcue 2024-04-26  1_48 PM_Stats.xlsx,15,230.0
1a,XIN1R,cue_test,50,研究1a/oringinaldata/50kHz Matlab export/cue test/Xin1Rcue 2024-04-30  9_49 AM_Stats.xlsx,15,13.0
1a,XIN1R,generalization_5k,22,研究1a/oringinaldata/22kHz Matlab export/generalization 5kHz/Xin1R5k 2024-04-29  6_46 PM_Stats.xlsx,15,27.0
1a,XIN1R,generalization_5k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin1R5k 2024-04-30  9_55 AM_Stats.xlsx,15,10.0
