study,subject_id,session_name,boli_count_session,source_filepath,source_sheet
2,EXT2R,learning,6.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,EXT2G,learning,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,EXT2B,learning,4.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,EXT3R,learning,8.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,EXT3G,learning,4.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,EXT3B,learning,6.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,NOEXT2G,learning,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,NOEXT2B,learning,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,NOEXT3R,learning,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,NOEXT3G,learning,6.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,NOEXT3B,learning,2.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,EXT1R,learning,4.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,EXT1G,learning,8.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,EXT1B,learning,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,NOEXT1R,learning,8.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,NOEXT1G,learning,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,NOEXT1B,learning,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,learn
2,EXT2R,retrieval,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,retrieve
2,EXT2G,retrieval,3.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,retrieve
2,EXT2B,retrieval,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,retrieve
2,EXT3R,retrieval,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,retrieve
2,EXT3G,retrieval,3.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,retrieve
