study,subject_id,session_name,time_bin_start_s,freezing_pct_5s
1a,XIN1B,contextual_test,0.0,78.67
1a,XIN1B,contextual_test,5.0,41.33
1a,XIN1B,contextual_test,10.0,64.0
1a,XIN1B,contextual_test,15.0,26.32
1a,XIN1B,contextual_test,20.0,36.23
1a,XIN1B,contextual_test,25.0,10.53
1a,XIN1B,contextual_test,30.0,28.38
1a,XIN1B,contextual_test,35.0,24.32
1a,XIN1B,contextual_test,40.0,48.68
1a,XIN1B,contextual_test,45.0,0.0
1a,XIN1B,contextual_test,50.0,51.32
1a,XIN1B,contextual_test,55.0,90.79
1a,XIN1B,contextual_test,60.0,89.33
1a,XIN1B,contextual_test,65.0,100.0
1a,XIN1B,contextual_test,70.0,94.67
1a,XIN1B,contextual_test,75.0,78.95
1a,XIN1B,contextual_test,80.0,92.11
1a,XIN1B,contextual_test,85.0,27.63
1a,XIN1B,contextual_test,90.0,52.63
1a,XIN1B,contextual_test,95.0,8.33
1a,XIN1B,contextual_test,100.0,12.0
1a,XIN1B,contextual_test,105.0,45.33
1a,XIN1B,contextual_test,110.0,34.21
1a,XIN1B,contextual_test,115.0,47.37
1a,XIN1B,contextual_test,120.0,34.67
1a,XIN1B,contextual_test,125.0,52.0
1a,XIN1B,contextual_test,130.0,13.33
1a,XIN1B,contextual_test,135.0,30.67
1a,XIN1B,contextual_test,140.0,54.67
1a,XIN1B,contextual_test,145.0,56.16
1a,XIN1B,contextual_test,150.0,27.78
1a,XIN1B,contextual_test,155.0,72.6
1a,XIN1B,contextual_test,160.0,46.05
1a,XIN1B,contextual_test,165.0,48.65
1a,XIN1B,contextual_test,170.0,58.67
1a,XIN1B,contextual_test,175.0,60.81
1a,XIN1B,cue_test,0.0,9.21
1a,XIN1B,cue_test,5.0,17.11
1a,XIN1B,cue_test,10.0,0.0
1a,XIN1B,cue_test,15.0,5.26
1a,XIN1B,cue_test,20.0,0.0
1a,XIN1B,cue_test,25.0,5.41
1a,XIN1B,cue_test,30.0,13.33
1a,XIN1B,cue_test,35.0,0.0
1a,XIN1B,cue_test,40.0,15.07
1a,XIN1B,cue_test,45.0,0.0
1a,XIN1B,cue_test,50.0,0.0
1a,XIN1B,cue_test,55.0,24.32
1a,XIN1B,cue_test,60.0,0.0
1a,XIN1B,cue_test,65.0,0.0
1a,XIN1B,cue_test,70.0,6.67
1a,XIN1B,cue_test,75.0,0.0
1a,XIN1B,cue_test,80.0,0.0
1a,XIN1B,cue_test,85.0,0.0
1a,XIN1B,cue_test,90.0,5.63
1a,XIN1B,cue_test,95.0,0.0
1a,XIN1B,cue_test,100.0,5.33
1a,XIN1B,cue_test,105.0,12.5
1a,XIN1B,cue_test,110.0,14.67
1a,XIN1B,cue_test,115.0,0.0
1a,XIN1B,cue_test,120.0,10.96
1a,XIN1B,cue_test,125.0,23.29
1a,XIN1B,cue_test,130.0,10.53
1a,XIN1B,cue_test,135.0,0.0
1a,XIN1B,cue_test,140.0,0.0
1a,XIN1B,cue_test,145.0,0.0
1a,XIN1B,cue_test,150.0,0.0
1a,XIN1B,cue_test,155.0,14.86
1a,XIN1B,cue_test,160.0,0.0
1a,XIN1B,cue_test,165.0,8.11
1a,XIN1B,cue_test,170.0,18.92
1a,XIN1B,cue_test,175.0,0.0
1a,XIN1B,cue_test,180.0,0.0
1a,XIN1B,cue_test,185.0,0.0
1a,XIN1B,cue_test,190.0,0.0
1a,XIN1B,cue_test,195.0,10.81
1a,XIN1B,cue_test,200.0,32.88
1a,XIN1B,cue_test,205.0,94.67
1a,XIN1B,cue_test,210.0,67.12
1a,XIN1B,cue_test,215.0,48.65
1a,XIN1B,cue_test,220.0,64.47
1a,XIN1B,cue_test,225.0,92.0
1a,XIN1B,cue_test,230.0,100.0
1a,XIN1B,cue_test,235.0,100.0
1a,XIN1B,cue_test,240.0,100.0
1a,XIN1B,cue_test,245.0,100.0
1a,XIN1B,cue_test,250.0,100.0
1a,XIN1B,cue_test,255.0,100.0
1a,XIN1B,cue_test,260.0,100.0
1a,XIN1B,cue_test,265.0,85.33
1a,XIN1B,cue_test,270.0,100.0
1a,XIN1B,cue_test,275.0,100.0
1a,XIN1B,cue_test,280.0,100.0
1a,XIN1B,cue_test,285.0,29.33
1a,XIN1B,cue_test,290.0,27.03
1a,XIN1B,cue_test,295.0,73.68
1a,XIN1B,cue_test,300.0,91.89
1a,XIN1B,cue_test,305.0,95.89
1a,XIN1B,cue_test,310.0,32.0
1a,XIN1B,cue_test,315.0,9.33
1a,XIN1B,cue_test,320.0,95.95
1a,XIN1B,cue_test,325.0,100.0
1a,XIN1B,cue_test,330.0,86.3
1a,XIN1B,cue_test,335.0,100.0
1a,XIN1B,cue_test,340.0,40.0
1a,XIN1B,cue_test,345.0,0.0
1a,XIN1B,cue_test,350.0,50.68
1a,XIN1B,cue_test,355.0,100.0
1a,XIN1B,cue_test,360.0,61.97
1a,XIN1B,cue_test,365.0,56.94
1a,XIN1B,cue_test,370.0,80.56
1a,XIN1B,cue_test,375.0,88.73
1a,XIN1B,cue_test,380.0,100.0
1a,XIN1B,cue_test,385.0,100.0
1a,XIN1B,cue_test,390.0,100.0
1a,XIN1B,cue_test,395.0,100.0
1a,XIN1B,cue_test,400.0,100.0
1a,XIN1B,cue_test,405.0,100.0
1a,XIN1B,cue_test,410.0,100.0
1a,XIN1B,cue_test,415.0,100.0
1a,XIN1B,cue_test,420.0,100.0
1a,XIN1B,cue_test,425.0,100.0
1a,XIN1B,cue_test,430.0,100.0
1a,XIN1B,cue_test,435.0,83.78
