study,subject_id,session_name,time_bin_start_s,leverpress_count_5s
1a,XIN1B,contextual_test,5.0,1
1a,XIN1B,contextual_test,60.0,1
1a,XIN1B,cue_test,5.0,1
1a,XIN1B,generalization_5k,5.0,1
1a,XIN1B,generalization_5k,210.0,1
1a,XIN1B,generalization_5k,430.0,1
1a,XIN1B,generalization_7k,5.0,1
1a,XIN1B,learning,0.0,1
1a,XIN1B,learning,125.0,1
1a,XIN1B,learning,190.0,1
1a,XIN1B,learning,390.0,1
1a,XIN1B,learning,505.0,1
1a,XIN1B,learning,800.0,1
1a,XIN1B,retest_cue,5.0,1
1a,XIN1B,retest_cue,125.0,1
1a,XIN1B,retest_cue,275.0,1
1a,XIN1G,contextual_test,5.0,1
1a,XIN1G,contextual_test,20.0,1
1a,XIN1G,contextual_test,30.0,1
1a,XIN1G,contextual_test,50.0,1
1a,XIN1G,contextual_test,140.0,1
1a,XIN1G,contextual_test,145.0,1
1a,XIN1G,generalization_5k,5.0,1
1a,XIN1G,generalization_5k,135.0,1
1a,XIN1G,generalization_5k,240.0,1
1a,XIN1G,generalization_5k,370.0,1
1a,XIN1G,generalization_5k,495.0,1
1a,XIN1G,generalization_5k,535.0,1
1a,XIN1G,generalization_7k,5.0,1
1a,XIN1G,learning,5.0,1
1a,XIN1G,learning,45.0,1
1a,XIN1G,learning,150.0,1
1a,XIN1G,learning,235.0,1
1a,XIN1G,learning,330.0,1
1a,XIN1G,learning,425.0,1
1a,XIN1G,learning,475.0,1
1a,XIN1G,learning,545.0,1
1a,XIN1G,learning,650.0,1
1a,XIN1G,learning,775.0,1
1a,XIN1G,learning,870.0,1
1a,XIN1G,retest_cue,10.0,1
1a,XIN1G,retest_cue,140.0,1
1a,XIN1G,retest_cue,270.0,1
1a,XIN1G,retest_cue,390.0,1
1a,XIN1G,retest_cue,520.0,1
1a,XIN1R,contextual_test,5.0,1
1a,XIN1R,cue_test,5.0,1
1a,XIN1R,cue_test,270.0,1
1a,XIN1R,generalization_5k,5.0,1
1a,XIN1R,generalization_7k,5.0,1
1a,XIN1R,learning,5.0,1
1a,XIN1R,learning,110.0,1
1a,XIN1R,learning,215.0,1
1a,XIN1R,learning,305.0,1
1a,XIN1R,learning,385.0,1
1a,XIN1R,learning,430.0,1
1a,XIN1R,learning,480.0,1
1a,XIN1R,learning,590.0,1
1a,XIN1R,retest_cue,10.0,1
1a,XIN2B,contextual_test,5.0,1
1a,XIN2B,cue_test,5.0,1
1a,XIN2B,cue_test,245.0,1
1a,XIN2B,cue_test,255.0,1
1a,XIN2B,cue_test,355.0,1
1a,XIN2B,cue_test,460.0,1
1a,XIN2B,generalization_5k,5.0,1
1a,XIN2B,generalization_7k,5.0,1
1a,XIN2B,generalization_7k,185.0,1
1a,XIN2B,generalization_7k,400.0,1
1a,XIN2B,learning,5.0,1
1a,XIN2B,learning,135.0,1
1a,XIN2B,learning,310.0,1
1a,XIN2B,learning,545.0,1
1a,XIN2B,learning,700.0,1
1a,XIN2B,learning,760.0,1
1a,XIN2B,learning,855.0,1
1a,XIN2B,learning,935.0,1
1a,XIN2B,learning,980.0,1
1a,XIN2B,learning,1005.0,1
1a,XIN2B,learning,1090.0,1
1a,XIN2B,retest_cue,5.0,1
1a,XIN2B,retest_cue,200.0,1
1a,XIN2B,retest_cue,390.0,1
1a,XIN2B,retest_cue,420.0,1
1a,XIN2B,retest_cue,545.0,1
1a,XIN2G,contextual_test,5.0,1
1a,XIN2G,cue_test,5.0,1
1a,XIN2G,cue_test,215.0,1
1a,XIN2G,generalization_5k,5.0,1
1a,XIN2G,generalization_5k,170.0,1
1a,XIN2G,generalization_5k,340.0,1
1a,XIN2G,generalization_5k,410.0,1
1a,XIN2G,generalization_5k,450.0,1
1a,XIN2G,generalization_7k,5.0,1
1a,XIN2G,generalization_7k,290.0,1
1a,XIN2G,generalization_7k,455.0,1
1a,XIN2G,generalization_7k,500.0,1
1a,XIN2G,learning,5.0,1
1a,XIN2G,learning,130.0,1
1a,XIN2G,learning,175.0,1
1a,XIN2G,learning,285.0,1
1a,XIN2G,learning,450.0,1
1a,XIN2G,learning,605.0,1
1a,XIN2G,learning,730.0,1
1a,XIN2G,learning,810.0,1
1a,XIN2G,learning,835.0,1
1a,XIN2G,learning,975.0,1
1a,XIN2G,learning,1105.0,1
1a,XIN2G,retest_cue,5.0,1
1a,XIN2G,retest_cue,120.0,1
1a,XIN2G,retest_cue,275.0,1
1a,XIN2G,retest_cue,380.0,1
1a,XIN2G,retest_cue,410.0,1
1a,XIN2G,retest_cue,510.0,1
1a,XIN2R,contextual_test,5.0,1
1a,XIN2R,contextual_test,130.0,1
