study,subject_id,session_name,time_bin_start_s,usv22_call_count_5s,usv50_call_count_5s
1a,XIN1B,contextual_test,0.0,0,6
1a,XIN1B,contextual_test,5.0,0,2
1a,XIN1B,contextual_test,10.0,0,2
1a,XIN1B,contextual_test,15.0,0,2
1a,XIN1B,contextual_test,20.0,0,7
1a,XIN1B,contextual_test,25.0,0,5
1a,XIN1B,contextual_test,30.0,0,5
1a,XIN1B,contextual_test,35.0,0,2
1a,XIN1B,contextual_test,40.0,0,3
1a,XIN1B,contextual_test,45.0,0,5
1a,XIN1B,contextual_test,50.0,0,1
1a,XIN1B,contextual_test,60.0,0,1
1a,XIN1B,contextual_test,75.0,0,1
1a,XIN1B,contextual_test,90.0,0,1
1a,XIN1B,contextual_test,95.0,0,5
1a,XIN1B,contextual_test,100.0,0,1
1a,XIN1B,contextual_test,105.0,0,2
1a,XIN1B,contextual_test,115.0,0,4
1a,XIN1B,contextual_test,120.0,0,2
1a,XIN1B,contextual_test,125.0,0,3
1a,XIN1B,contextual_test,130.0,0,1
1a,XIN1B,contextual_test,135.0,0,1
1a,XIN1B,contextual_test,145.0,0,1
1a,XIN1B,contextual_test,150.0,0,5
1a,XIN1B,contextual_test,155.0,0,3
1a,XIN1B,contextual_test,160.0,0,4
1a,XIN1B,contextual_test,165.0,0,3
1a,XIN1B,contextual_test,170.0,0,4
1a,XIN1B,contextual_test,175.0,0,4
1a,XIN1B,contextual_test,180.0,0,2
1a,XIN1B,contextual_test,185.0,0,1
1a,XIN1B,cue_test,45.0,0,1
1a,XIN1B,cue_test,50.0,0,1
1a,XIN1B,cue_test,55.0,0,1
1a,XIN1B,cue_test,100.0,0,2
1a,XIN1B,cue_test,225.0,3,0
1a,XIN1B,cue_test,230.0,4,0
1a,XIN1B,cue_test,235.0,3,0
1a,XIN1B,cue_test,240.0,4,0
1a,XIN1B,cue_test,245.0,4,0
1a,XIN1B,cue_test,250.0,3,0
1a,XIN1B,cue_test,255.0,5,0
1a,XIN1B,cue_test,260.0,4,0
1a,XIN1B,cue_test,265.0,3,0
1a,XIN1B,cue_test,270.0,5,0
1a,XIN1B,cue_test,275.0,5,0
1a,XIN1B,cue_test,280.0,5,0
1a,XIN1B,cue_test,285.0,4,0
1a,XIN1B,cue_test,295.0,3,0
1a,XIN1B,cue_test,300.0,6,0
1a,XIN1B,cue_test,305.0,5,0
1a,XIN1B,cue_test,310.0,5,0
1a,XIN1B,cue_test,320.0,3,0
1a,XIN1B,cue_test,325.0,5,0
1a,XIN1B,cue_test,330.0,5,0
1a,XIN1B,cue_test,335.0,6,0
1a,XIN1B,cue_test,340.0,5,0
1a,XIN1B,cue_test,345.0,2,0
1a,XIN1B,cue_test,350.0,2,0
1a,XIN1B,cue_test,355.0,4,0
1a,XIN1B,cue_test,360.0,3,0
1a,XIN1B,cue_test,370.0,7,0
1a,XIN1B,cue_test,375.0,7,0
1a,XIN1B,cue_test,380.0,6,0
1a,XIN1B,cue_test,385.0,3,0
1a,XIN1B,cue_test,390.0,4,0
1a,XIN1B,cue_test,395.0,4,0
1a,XIN1B,cue_test,400.0,4,0
1a,XIN1B,cue_test,405.0,4,0
1a,XIN1B,cue_test,410.0,4,0
1a,XIN1B,cue_test,415.0,5,0
1a,XIN1B,cue_test,420.0,4,0
1a,XIN1B,cue_test,425.0,5,0
1a,XIN1B,cue_test,430.0,2,0
1a,XIN1B,cue_test,435.0,2,0
1a,XIN1B,cue_test,440.0,3,0
1a,XIN1B,cue_test,445.0,4,0
1a,XIN1B,cue_test,450.0,5,0
1a,XIN1B,cue_test,455.0,5,0
1a,XIN1B,cue_test,460.0,5,0
1a,XIN1B,cue_test,465.0,5,0
1a,XIN1B,cue_test,470.0,5,0
1a,XIN1B,cue_test,475.0,5,0
1a,XIN1B,cue_test,480.0,5,0
1a,XIN1B,cue_test,485.0,5,0
1a,XIN1B,cue_test,490.0,5,0
1a,XIN1B,cue_test,495.0,7,0
1a,XIN1B,cue_test,500.0,4,0
1a,XIN1B,cue_test,505.0,5,0
1a,XIN1B,cue_test,510.0,6,0
1a,XIN1B,cue_test,515.0,5,0
1a,XIN1B,cue_test,520.0,5,0
1a,XIN1B,cue_test,525.0,7,0
1a,XIN1B,cue_test,530.0,7,0
1a,XIN1B,cue_test,535.0,2,0
1a,XIN1B,cue_test,540.0,1,0
1a,XIN1B,generalization_5k,40.0,0,2
1a,XIN1B,generalization_5k,80.0,0,1
1a,XIN1B,generalization_5k,145.0,0,1
1a,XIN1B,generalization_5k,155.0,0,1
1a,XIN1B,generalization_5k,160.0,0,1
1a,XIN1B,generalization_7k,10.0,0,1
1a,XIN1B,generalization_7k,20.0,0,1
1a,XIN1B,generalization_7k,30.0,0,1
1a,XIN1B,generalization_7k,35.0,0,1
1a,XIN1B,generalization_7k,45.0,0,1
1a,XIN1B,generalization_7k,60.0,0,1
1a,XIN1B,generalization_7k,65.0,0,1
1a,XIN1B,generalization_7k,85.0,0,1
1a,XIN1B,generalization_7k,100.0,0,3
1a,XIN1B,generalization_7k,300.0,1,0
1a,XIN1B,generalization_7k,305.0,4,0
1a,XIN1B,generalization_7k,310.0,4,0
1a,XIN1B,generalization_7k,315.0,3,0
1a,XIN1B,generalization_7k,320.0,2,0
1a,XIN1B,generalization_7k,325.0,3,0
1a,XIN1B,generalization_7k,335.0,3,0
1a,XIN1B,generalization_7k,340.0,1,0
1a,XIN1B,generalization_7k,345.0,1,0
1a,XIN1B,generalization_7k,350.0,6,0
1a,XIN1B,generalization_7k,355.0,4,0
1a,XIN1B,generalization_7k,375.0,2,0
1a,XIN1B,generalization_7k,380.0,3,0
1a,XIN1B,generalization_7k,390.0,3,0
1a,XIN1B,generalization_7k,395.0,4,0
1a,XIN1B,generalization_7k,400.0,3,0
1a,XIN1B,generalization_7k,405.0,4,0
