model,n_components,mean_test_ll_per_sample,std_test_ll_per_sample,mean_test_recon_error,std_test_recon_error,mean_test_ll_total,std_test_ll_total,full_ll,n_params,BIC
FA,2,-5.653647040343006,0.6612797274964451,0.5824205976798849,0.1674295772512006,-53142.272762772904,6209.828985299749,-261644.82202893362,16,523461.77186560247
FA,3,-5.653839628200851,0.6609970444877561,0.5520939360900614,0.17678131665714628,-53144.06605948415,6207.041706308475,-261642.7450913436,20,523500.6499423563
FA,4,-5.675514071581432,0.6109490239200197,0.7331955587245946,0.2159820232700038,-53350.55918275751,5779.74432120698,-263203.9757264685,24,526666.1431645398
GaussianHMM,2,17.16998533236872,1.5175751041573662,0.7887307090390372,0.21809774337944643,161416.86605581862,14694.394044814782,769599.6565658721,31,-1538865.815504257
GaussianHMM,3,19.402883780446054,0.9591314649533121,0.5102058635650387,0.1019670857679289,182438.79108573892,10756.360563030219,916791.6519689522,50,-1833045.4045387316
GaussianHMM,4,28.782333313786307,8.596590602243595,0.5214301816832474,0.1704485047952333,270898.5914961734,81648.56824463907,929608.5269624821,71,-1858453.2367781391
GaussianHMM,5,31.820434227895174,7.413881120744784,0.4050014757512262,0.0641303363699309,299328.9013470396,70355.51742671248,1577558.2352172327,94,-3154105.2195640206
GaussianHMM,6,29.434131225201348,5.834611909043256,0.5177690042243226,0.1589389250209599,276764.02128470957,55023.750682432874,1373525.8910814542,119,-2745771.5815928774
PCA,2,-5.693290643722885,0.6413890961946198,0.41759128881341134,0.10740476315371265,-53517.40740674067,6055.788723242509,-263411.1222848422,14,526972.8564014527
PCA,3,-5.653852375938724,0.661107414572024,0.150093501492422,0.05827645399163246,-53144.18244649188,6208.021167189635,-261642.73804092535,19,523489.87785353634
PCA,4,-5.653852375938724,0.6611074145720237,1.7825067411520601e-31,1.3176829440398133e-31,-53144.18244649188,6208.021167189633,-261642.73804092538,24,523543.6677934537
