study,state,state_label,channel,mean,std,n,cohens_d_1a_vs_1b,cohens_d_1a_vs_2,cohens_d_1b_vs_2,early_mean,late_mean,cohens_d_early_vs_late,meaningful
1a,0,USV50-active,usv22_call_count_5s,-0.2753253166742416,0.0,1399,-1.793728050028855,0.0,2.4283379906482128,-0.27532531667424154,-0.2753253166742416,1.1970356586878923,False
1a,0,USV50-active,usv50_call_count_5s,1.5682786268043394,1.4362721420510376,1399,-0.5483706332164217,0.11337576324810039,0.6724473381675081,1.6798780072428423,1.3232737927746043,0.24005479304225333,True
1a,0,USV50-active,leverpress_count_5s,-0.1603270985805305,2.776550072791311e-17,1399,0.0,-1.7902923038537666,-2.4283379906482128,-0.1603270985805305,-0.1603270985805305,0.0,False
1a,0,USV50-active,freezing_pct_5s,-0.2136890815725051,0.7337718865281612,1399,0.46754258050602915,0.3463791786861783,-0.11937817688159594,-0.4461445111573312,-0.2895911748719917,-0.22759145808333123,True
1a,1,Quiescent,usv22_call_count_5s,-0.2753253166742416,0.0,4733,-2.405922180466679,-1.0728941627122344,0.0,-0.2753253166742416,-0.27532531667424154,-1.4029865474736707,False
1a,1,Quiescent,usv50_call_count_5s,-0.3220820682447652,0.0,4733,0.0,0.0,0.0,-0.3220820682447652,-0.32208206824476526,1.4029865474736707,False
1a,1,Quiescent,leverpress_count_5s,-0.16032709858053049,0.0,4733,0.0,-1.0728941627122344,-1.015623717845541,-0.1603270985805305,-0.16032709858053049,-1.4256362309278967,False
1a,1,Quiescent,freezing_pct_5s,-0.1803010587458833,0.7982198386140807,4733,0.07495794430000553,-0.17844659814118308,-0.23487466566087992,-0.144825689911435,0.0723780378749619,-0.22441976098190364,True
1a,2,Lever-press,usv22_call_count_5s,-0.23877134602300562,0.3813568498645981,287,0.10512335478710474,-0.00761718661868146,-0.09246597176576972,-0.22793908302039517,-0.25342345951995204,0.06082124643512827,True
1a,2,Lever-press,usv50_call_count_5s,0.03702294859068205,0.9964432520417501,287,-0.8194786004503878,0.1927737606010613,1.2552836637464704,0.11379068961610683,-0.24250456321027775,0.37960148655498627,True
1a,2,Lever-press,leverpress_count_5s,6.207186800197115,8.89729824235634e-16,287,-0.4523043717696853,-0.0804123894639426,0.3572392591936477,6.239067743309288,6.207186800197114,0.12044724176769833,True
1a,2,Lever-press,freezing_pct_5s,-0.15002777406945647,0.8379056953799764,287,0.343320100535522,-0.056320624602593204,-0.35470934258020265,-0.19293327440498445,-0.0314360535532355,-0.1794557991644828,True
