fold,K,n_train_obs,n_test_obs,n_train_seqs,n_test_seqs,hmm_ll_test,hmm_ll_test_per_obs,hsmm_ll_test,hsmm_ll_test_per_obs,ll_diff,ll_diff_per_obs,hsmm_better
0,3,37536,9468,169,44,133598.78235097998,14.110560028620615,133677.1428563805,14.118836381113276,78.36050540051656,0.008276352492661232,True
0,4,37536,9468,169,44,139304.78031548136,14.71322141059161,139314.9507298619,14.714295598844732,10.170414380554575,0.0010741882531224434,True
0,5,37536,9468,169,44,141927.63667578326,14.99024468481023,141965.0546165754,14.99419672756394,37.41794079213287,0.003952042753709861,True
0,6,37536,9468,169,44,145671.4658448767,15.38566390419061,145708.88377290842,15.38961594559658,37.41792803173303,0.003952041405970164,True
1,3,36564,10440,170,43,159031.6440203119,15.23291609389961,159116.50203077836,15.24104425582168,84.85801046644337,0.008128161922071442,True
1,4,36564,10440,170,43,162241.30303549746,15.54035469688673,162283.44381608153,15.544391170122752,42.14078058407176,0.004036473236022076,True
1,5,36564,10440,170,43,164524.51618476282,15.759053274402568,164564.22886176896,15.762857170667525,39.71267700614408,0.0038038962649569186,True
1,6,36564,10440,170,43,166893.7587546342,15.98599221787684,166933.47126693345,15.989796098365273,39.712512299243826,0.0038038804884337196,True
2,3,38736,8268,175,38,120340.50474876935,14.55497154677907,120637.22508076436,14.590859346971984,296.72033199500584,0.03588780019291349,True
2,4,38736,8268,175,38,124369.17868035921,15.042232544794292,124587.90237578352,15.06868678952389,218.7236954243126,0.026454244729597676,True
2,5,38736,8268,175,38,126915.58663115937,15.350216089883814,127159.42114641845,15.37970744393063,243.8345152590773,0.02949135404681691,True
2,6,38736,8268,175,38,127970.33383573186,15.477785901757603,128213.99190342794,15.507255914783254,243.65806769608753,0.029470013025651554,True
3,3,38400,8604,169,44,124138.50853260643,14.427999597002142,124451.20609431661,14.464342874746237,312.69756171018525,0.03634327774409485,True
3,4,38400,8604,169,44,132329.87417128295,15.380041163561478,132596.8978326047,15.41107599170208,267.02366132175666,0.03103482814060321,True
3,5,38400,8604,169,44,134300.85723623223,15.60911869319296,134572.01717778208,15.640634260551149,271.15994154984946,0.0315155673581895,True
3,6,38400,8604,169,44,136638.51733511896,15.880813265355528,136909.6773674015,15.912328843259125,271.1600322825543,0.0315155779035976,True
4,3,36780,10224,169,44,142238.75569213537,13.912241362689297,142489.52243547534,13.936768626318011,250.76674333997653,0.02452726362871438,True
4,4,36780,10224,169,44,149929.95152979592,14.664510126153747,150109.75759755968,14.6820967916236,179.80606776376953,0.017586665469853102,True
4,5,36780,10224,169,44,153961.8234702563,15.058863797951515,154174.7821124546,15.07969308611645,212.95864219829673,0.020829288164934567,True
4,6,36780,10224,169,44,156656.60477370454,15.322437869102558,156869.56328744168,15.343267144702825,212.9585137371323,0.02082927560026704,True
