seed,log_likelihood,converged,rank
65,1611651.0356126213,True,1
2,1595694.2730959682,True,2
30,1591269.4937650173,True,3
64,1524112.5184480099,True,4
54,1455111.6638079458,True,5
22,1063649.07112666,True,6
13,1046862.2723450962,True,7
52,1016484.5830855784,True,8
59,1007070.8597587291,True,9
32,1003711.1903064648,True,10
17,986801.265957292,True,11
28,963936.4298738779,True,12
41,961189.9854740746,True,13
63,959197.5013622813,True,14
73,957711.427431569,True,15
44,955534.8728835329,True,16
72,949336.9174341833,True,17
49,947102.9819585467,True,18
15,944059.3447869209,True,19
34,940272.348617372,True,20
96,938112.5330607619,True,21
26,931011.7291503395,True,22
71,929223.1118202665,True,23
94,922227.2459386598,True,24
8,918603.1400171196,True,25
81,915652.3061684975,True,26
61,914237.5047901724,True,27
93,913657.0572962407,True,28
27,910006.4640582956,True,29
78,906178.4116009411,True,30
10,905960.913970135,True,31
88,905592.4870280309,True,32
98,905398.0091105236,True,33
9,905326.6228862134,True,34
23,903429.0234566893,True,35
6,901389.3105971876,True,36
89,899747.9010217793,True,37
33,898865.5647685248,True,38
4,898202.4980789927,True,39
53,891115.5431879072,True,40
91,886987.2628148353,True,41
47,886887.3067726188,True,42
62,884121.580515806,True,43
92,875483.1618791078,True,44
46,874387.2969699014,True,45
83,858238.2006624008,True,46
25,834681.7367659399,True,47
24,827076.353861187,True,48
79,803815.8329969496,True,49
12,786137.9563012657,True,50
40,784639.5533678062,True,51
56,784377.1040323869,True,52
70,773784.3304670923,True,53
99,742754.1909797512,True,54
97,742750.0442260284,True,55
48,742412.5420480531,True,56
74,742231.5479841509,True,57
66,741850.2459852335,True,58
36,741695.3862515079,True,59
77,741224.092911532,True,60
76,740840.3512669882,True,61
37,730286.6605877371,True,62
5,722284.9321287968,True,63
85,652832.2884395698,True,64
42,637165.1369956014,True,65
69,630640.9483289154,True,66
14,623797.1155216679,True,67
55,607614.1834894666,True,68
16,605676.6489719265,True,69
31,586210.4362056628,True,70
43,581212.1756422096,True,71
50,542158.8683038087,True,72
84,517132.90466908476,True,73
58,513722.6025807501,True,74
68,511207.32832342654,True,75
51,506237.13584767707,True,76
39,505773.0584546962,True,77
57,504151.37021667167,True,78
29,494768.0663537989,True,79
0,491857.6799995147,True,80
80,485734.3809082342,True,81
95,485479.9127725646,True,82
20,466184.03269784414,True,83
21,464388.7739885364,True,84
7,460061.7975490643,True,85
38,455475.70955318975,True,86
75,455263.7412488909,True,87
11,454936.13082564826,True,88
45,454365.2302498024,True,89
3,453482.1375110222,True,90
1,452251.8587852532,True,91
60,451720.8209520451,True,92
86,451129.13850024977,True,93
35,450126.9269481821,True,94
67,449815.6430552077,True,95
82,448271.0213459055,True,96
90,445388.6308737739,True,97
19,444307.7910389924,True,98
18,444267.8854431524,True,99
87,440151.6753124398,True,100
