model_i_rank,model_j_rank,model_i_seed,model_j_seed,NMI
1,2,65,2,1.0
1,3,65,30,1.0
1,4,65,64,0.9980557655316467
1,5,65,54,0.9989869230970505
1,6,65,22,1.0
1,7,65,13,0.7154774061002274
1,8,65,52,0.5704233085206472
1,9,65,59,0.9941627266812217
1,10,65,32,0.5546030107960086
1,11,65,17,0.9983538109324118
1,12,65,28,0.6884063448458262
1,13,65,41,0.7409276344237788
1,14,65,63,0.43234075097729996
1,15,65,73,0.6626567253664726
1,16,65,44,0.5285412424790595
1,17,65,72,1.0
1,18,65,49,0.5661568783407565
1,19,65,15,0.5256472613582652
1,20,65,34,0.9983538109324118
2,3,2,30,1.0
2,4,2,64,0.9980557655316467
2,5,2,54,0.9989869230970505
2,6,2,22,1.0
2,7,2,13,0.7154774061002274
2,8,2,52,0.5704233085206472
2,9,2,59,0.9941627266812217
2,10,2,32,0.5546030107960086
2,11,2,17,0.9983538109324118
2,12,2,28,0.6884063448458262
2,13,2,41,0.7409276344237788
2,14,2,63,0.43234075097729996
2,15,2,73,0.6626567253664726
2,16,2,44,0.5285412424790595
2,17,2,72,1.0
2,18,2,49,0.5661568783407565
2,19,2,15,0.5256472613582652
2,20,2,34,0.9983538109324118
3,4,30,64,0.9980557655316467
3,5,30,54,0.9989869230970505
3,6,30,22,1.0
3,7,30,13,0.7154774061002274
3,8,30,52,0.5704233085206472
3,9,30,59,0.9941627266812217
3,10,30,32,0.5546030107960086
3,11,30,17,0.9983538109324118
3,12,30,28,0.6884063448458262
3,13,30,41,0.7409276344237788
3,14,30,63,0.43234075097729996
3,15,30,73,0.6626567253664726
3,16,30,44,0.5285412424790595
3,17,30,72,1.0
3,18,30,49,0.5661568783407565
3,19,30,15,0.5256472613582652
3,20,30,34,0.9983538109324118
4,5,64,54,0.9977636628144222
4,6,64,22,0.9980557655316467
4,7,64,13,0.7166661850037435
4,8,64,52,0.5716873590296923
4,9,64,59,0.995975699287957
4,10,64,32,0.5558217520671946
4,11,64,17,0.9997018927815293
4,12,64,28,0.6904015442592893
4,13,64,41,0.7426215255535552
4,14,64,63,0.43362574274189425
4,15,64,73,0.6649130069256245
4,16,64,44,0.5299382802132855
4,17,64,72,0.9980557655316467
4,18,64,49,0.5674089550892759
4,19,64,15,0.526713941533705
4,20,64,34,0.9997018927815293
