subject_id,n_sessions,total_bins,hmm_ll,baseline_ll,ll_improvement
EXT1B,8,2172,44820.22137777905,-13131.094753221754,57951.31613100081
EXT1G,8,2172,42680.494888158624,-11051.27684203244,53731.77173019106
EXT1R,7,1776,38726.789732008445,-8054.822890950001,46781.61262295845
EXT2B,8,2460,88937.88119596044,-13071.563564339664,102009.4447603001
EXT2G,7,2064,76645.49436468308,-10287.4239237408,86932.91828842388
EXT2R,7,2064,40327.587884718174,-11517.112330578326,51844.7002152965
EXT3B,8,2460,52973.277049756354,-12183.315000856384,65156.59205061274
EXT3G,8,2460,64247.38955916615,-15906.944048075751,80154.3336072419
EXT3R,8,2460,74537.25168794938,-15258.016903071537,89795.26859102091
NOEXT1B,8,2172,68403.26211941843,-14021.036700131563,82424.29881955
NOEXT1G,8,2172,53442.91467104114,-10917.833797297628,64360.74846833877
NOEXT1R,5,1596,57591.710353252405,-8391.250408908982,65982.96076216138
NOEXT2B,8,2460,80717.16326321002,-14205.536527822169,94922.6997910322
NOEXT2G,8,2460,72594.9419841306,-12392.046137027059,84986.98812115766
NOEXT3B,8,2460,85634.13850135155,-12160.874561205866,97795.01306255742
NOEXT3G,8,2460,67373.66745138646,-13558.024904701277,80931.69235608773
NOEXT3R,8,2460,50908.32394331268,-13849.317999652973,64757.64194296565
XIN1B,7,732,20848.396996333955,-5300.4691616729815,26148.86615800694
XIN1G,6,624,17702.772701520305,-4100.647007980842,21803.419709501148
XIN1R,7,732,19799.912011888387,-5291.076275764741,25090.988287653126
XIN2B,7,732,14654.747600319708,-4028.899015276318,18683.646615596026
XIN2G,7,732,28320.390709222647,-3481.4367357682604,31801.827444990908
XIN2R,7,732,17411.285998876534,-5966.613104590644,23377.899103467178
XIN3B,7,732,23513.167904077614,-3672.951693976624,27186.11959805424
XIN3G,7,732,13816.202388804537,-4908.170711518408,18724.373100322944
XIN3R,7,732,16399.493542574557,-4368.458223300739,20767.951765875296
XIN4B,7,732,13453.327153351725,-4548.7782953041815,18002.105448655908
XIN4G,7,732,19669.91812842919,-4972.658135143331,24642.576263572522
XIN4R,7,732,19860.42255347729,-3737.5719055119794,23597.99445898927
