subject_id,session_name,n_bins,hmm_ll,baseline_ll,ll_improvement
EXT1B,LTM2,180,3712.512674355242,-1014.247871083599,4726.760545438841
EXT1B,extinction1,396,8291.061927079041,-2462.6954772934396,10753.757404372482
EXT1B,extinction2,396,8651.29208322181,-1967.2985819632784,10618.590665185087
EXT1B,extinction3,396,8252.58125662879,-2209.0529318648346,10461.634188493625
EXT1B,extinction4,396,8635.513733492782,-1975.1430740613187,10610.6568075541
EXT1B,learning,228,3973.6571082281966,-1899.6388082654964,5873.295916493693
EXT1B,renewal,108,2117.7287883900144,-1073.46773391998,3191.196522309994
EXT1B,retrieval,72,1185.873806383175,-529.550274769809,1715.424081152984
EXT1G,LTM2,180,4075.9098000281083,-741.0850572902154,4816.994857318324
EXT1G,extinction1,396,5948.968695239483,-2347.105766184449,8296.074461423932
EXT1G,extinction2,396,8920.19022373288,-1635.672359565147,10555.862583298027
EXT1G,extinction3,396,8830.00947231504,-1631.912474373416,10461.921946688455
EXT1G,extinction4,396,8899.557825740754,-1646.666982624244,10546.224808364997
EXT1G,learning,228,3188.8799611075983,-1898.501253469045,5087.381214576643
EXT1G,renewal,108,1657.11304512901,-692.6721058369549,2349.785150965965
EXT1G,retrieval,72,1159.8658648657488,-457.6608426889692,1617.526707554718
EXT1R,LTM2,180,3877.8223113985055,-860.1020046777777,4737.9243160762835
EXT1R,extinction2,396,8816.923729547796,-1676.3245734908314,10493.248303038628
EXT1R,extinction3,396,8802.744650205908,-1702.480351180472,10505.225001386381
EXT1R,extinction4,396,8637.713807044334,-1809.5483678847163,10447.26217492905
EXT1R,learning,228,4739.9186488146215,-1120.558845657441,5860.477494472063
EXT1R,renewal,108,2259.827223039801,-570.6549760262059,2830.482199066007
EXT1R,retrieval,72,1591.8393619574758,-315.1537720325564,1906.9931339900322
EXT2B,LTM2,144,5555.662250434074,-663.5779036960208,6219.240154130095
EXT2B,extinction1,684,25551.18282884382,-3877.3675351076745,29428.550363951494
EXT2B,extinction2,396,14449.136181528916,-1891.8822422578273,16341.018423786743
EXT2B,extinction3,396,15391.475111930115,-1751.7707760533272,17143.24588798344
EXT2B,extinction4,396,15184.62893402769,-1811.4944318836572,16996.12336591135
EXT2B,learning,228,6050.009044334965,-1907.3978589525082,7957.406903287474
EXT2B,renewal,144,4075.4559616777638,-792.8749825241629,4868.330944201926
EXT2B,retrieval,72,2680.3308831830886,-375.19783386448466,3055.528717047573
EXT2G,LTM2,144,5565.910974127956,-704.911153141366,6270.822127269323
EXT2G,extinction1,684,26977.5473297359,-3057.626182716814,30035.17351245271
EXT2G,extinction3,396,15080.01799416223,-2016.1853329519013,17096.20332711413
EXT2G,extinction4,396,14454.918674260789,-2222.7167742485403,16677.63544850933
EXT2G,learning,228,6967.01432956572,-1202.8704379786068,8169.884767544327
EXT2G,renewal,144,4802.124813808906,-732.7852073345148,5534.910021143421
EXT2G,retrieval,72,2797.9602490215966,-350.3288353690571,3148.289084390654
EXT2R,LTM2,144,2944.1817058825736,-821.4157399860359,3765.5974458686096
EXT2R,extinction1,684,12296.532418041876,-4034.2047528068733,16330.737170848748
EXT2R,extinction3,396,8586.419358545996,-1998.9195696399233,10585.33892818592
EXT2R,extinction4,396,8652.139786906291,-1990.2296069804602,10642.369393886751
EXT2R,learning,228,3285.449340262478,-1493.9411019094694,4779.390442171947
EXT2R,renewal,144,2985.0330722608705,-795.4548510950794,3780.48792335595
EXT2R,retrieval,72,1577.8322028180837,-382.9467081604841,1960.7789109785679
EXT3B,LTM2,144,3121.735906051393,-728.2988696397546,3850.034775691148
EXT3B,extinction1,684,15960.270630622888,-3065.919021158875,19026.189651781762
EXT3B,extinction2,396,8559.892444692621,-1938.925856444087,10498.818301136707
EXT3B,extinction3,396,8472.414713836211,-1993.9566562269315,10466.371370063143
EXT3B,extinction4,396,8571.865136004033,-2050.486937985068,10622.352073989101
EXT3B,learning,228,3872.268240778768,-1320.013343480622,5192.28158425939
EXT3B,renewal,144,2771.4852645824744,-750.938556141082,3522.4238207235567
EXT3B,retrieval,72,1643.3447131879761,-334.7757597799646,1978.1204729679407
EXT3G,LTM2,144,4532.208014033376,-725.0331611785425,5257.241175211918
EXT3G,extinction1,684,18105.82123807554,-4563.678386328889,22669.49962440443
EXT3G,extinction2,396,10645.092013902311,-2525.6522951238694,13170.74430902618
EXT3G,extinction3,396,11071.600207533822,-2158.413174895758,13230.01338242958
EXT3G,extinction4,396,13130.170497688023,-2078.8285411820093,15208.999038870032
EXT3G,learning,228,3703.8506517816236,-1925.064794354747,5628.9154461363705
EXT3G,renewal,144,1709.104360959668,-1371.4651710287962,3080.5695319884644
EXT3G,retrieval,72,1349.5425751917978,-558.8085239831405,1908.3510991749383
EXT3R,LTM2,144,4186.317250557939,-750.7643284276251,4937.081578985564
EXT3R,extinction1,684,19918.291644670648,-4460.647994265143,24378.93963893579
EXT3R,extinction2,396,13786.079691687104,-2398.2045408410254,16184.284232528129
EXT3R,extinction3,396,12459.871048398572,-2065.765548568089,14525.636596966662
EXT3R,extinction4,396,14639.707875667667,-1892.3653596276,16532.07323529527
EXT3R,learning,228,4910.32214869852,-1981.149558153826,6891.471706852346
EXT3R,renewal,144,2034.7522672727828,-1346.7683412521951,3381.520608524978
EXT3R,retrieval,72,2601.909760996157,-362.35123193603306,2964.2609929321898
NOEXT1B,LTM2,180,1376.0493798836203,-2183.5714772638357,3559.6208571474563
NOEXT1B,extinction1,396,16017.440017326571,-1765.877544115268,17783.31756144184
NOEXT1B,extinction2,396,15333.971981648307,-1747.0901007718294,17081.062082420136
NOEXT1B,extinction3,396,14817.715182861493,-1842.9739989484196,16660.689181809914
NOEXT1B,extinction4,396,15162.454505142654,-2018.3018607264207,17180.756365869074
NOEXT1B,learning,228,4597.382894730289,-2719.8260105374493,7317.208905267738
