subject_id,session_name,study,session_type,n_bins,n_fear_bins,n_goal_bins,n_other_bins,n_fg_transitions,conflict_episodes,alternation_rate,transition_rate,fg_transition_rate
EXT1B,LTM2,2,both_threat_reward,180,3,63,114,5,0,0.0,0.3128491620111732,0.027932960893854747
EXT1B,extinction1,2,threat_dominant,396,98,10,288,1,0,0.0,0.1569620253164557,0.002531645569620253
EXT1B,extinction2,2,other,396,22,55,319,1,0,0.0,0.17215189873417722,0.002531645569620253
EXT1B,extinction3,2,other,396,8,74,314,2,0,0.0,0.2,0.005063291139240506
EXT1B,extinction4,2,other,396,0,52,344,0,0,0.0,0.17468354430379746,0.0
EXT1B,learning,2,both_threat_reward,228,46,41,141,3,1,0.0043859649122807015,0.18061674008810572,0.013215859030837005
EXT1B,renewal,2,both_threat_reward,108,56,3,49,0,0,0.0,0.102803738317757,0.0
EXT1B,retrieval,2,threat_dominant,72,20,3,49,2,0,0.0,0.14084507042253522,0.028169014084507043
EXT1G,LTM2,2,both_threat_reward,180,0,4,176,0,0,0.0,0.03910614525139665,0.0
EXT1G,extinction1,2,threat_dominant,396,127,1,268,0,0,0.0,0.10379746835443038,0.0
EXT1G,extinction2,2,other,396,0,4,392,0,0,0.0,0.017721518987341773,0.0
EXT1G,extinction3,2,other,396,6,5,385,0,0,0.0,0.03291139240506329,0.0
EXT1G,extinction4,2,other,396,0,7,389,0,0,0.0,0.027848101265822784,0.0
EXT1G,learning,2,both_threat_reward,228,76,34,118,1,0,0.0,0.11894273127753303,0.004405286343612335
EXT1G,renewal,2,both_threat_reward,108,27,19,62,3,0,0.0,0.3364485981308411,0.028037383177570093
EXT1G,retrieval,2,threat_dominant,72,19,5,48,0,0,0.0,0.19718309859154928,0.0
EXT1R,LTM2,2,both_threat_reward,180,0,19,161,0,0,0.0,0.055865921787709494,0.0
EXT1R,extinction2,2,other,396,0,10,386,0,0,0.0,0.035443037974683546,0.0
EXT1R,extinction3,2,other,396,0,4,392,0,0,0.0,0.017721518987341773,0.0
EXT1R,extinction4,2,other,396,0,27,369,0,0,0.0,0.04050632911392405,0.0
