study,state,emission_z_usv22_call_count_5s,emission_z_usv50_call_count_5s,emission_z_leverpress_count_5s,emission_z_freezing_pct_5s,emission_orig_usv22_call_count_5s,emission_orig_usv50_call_count_5s,emission_orig_leverpress_count_5s,emission_orig_freezing_pct_5s,trans_to_state_0,trans_to_state_1,trans_to_state_2,trans_to_state_3
1a,0,-0.27262170852742074,2.143840984776566,-0.2075582384087603,-0.10582500115095975,8.326672684688674e-17,1.9829806153093905,0.0,29.427125511888974,0.6066733502999468,0.3591071356300257,4.672890814538826e-13,0.034219514069560114
1a,1,-0.27262170852742096,-0.3913309554316167,-0.20755823840876034,-0.0908286219401266,0.0,-2.7755575615628914e-17,-3.469446951953614e-18,29.852342160565644,0.06695640674819835,0.8722581550824398,0.012634545836445228,0.04815089233291675
1a,2,3.3167908818817096,-0.39133095543161656,-0.2075582384087602,1.117753084497589,2.7489578103329997,5.551115123125783e-17,1.3877787807814457e-17,64.12121837650832,2.834801301693861e-13,0.10679586144731627,0.887378897163869,0.005825241388531347
1a,3,-0.23870675004074188,-0.038407834473245056,4.817231449619348,-0.04882110163508993,0.012564405864065775,0.1643309182884043,1.0000000000000002,31.043449477351917,0.16667413942432516,0.8085908781391822,0.01413427572270369,0.01060070671378906
1b,0,-0.16582836907002935,1.1894838558497518,-0.18692318016793508,-0.3247287931341092,1.3877787807814457e-17,2.594801812802663,0.0,17.498484240507324,0.7683949723649092,0.18343535304605635,0.008341570154279627,0.03982810443475476
1b,1,-0.16582836907002935,-0.6207095649275274,-0.18692318016793502,0.5233328764029619,1.3877787807814457e-17,2.220446049250313e-16,6.938893903907228e-18,38.65688526469995,0.09291923325248304,0.0478401380557239,0.8573373322314254,0.0019032964603677802
1b,2,0.2901555854115861,-0.6207095649275277,-0.18692318016793508,-0.0877317498006171,0.11559668814720434,0.0,0.0,23.411354335361654,0.09684948891395047,0.5017180836508122,0.3630833856217667,0.03834904181347079
1b,3,-0.1658283690700294,0.1717091682001601,5.287708266106503,-0.1498241326668789,6.938893903907228e-18,0.7508491309797768,1.0276789418437042,21.86220338983051,0.37380604057308203,0.6261939594085848,1.833323809415804e-11,5.601823202961858e-78
2,0,-0.2802036394079037,2.331193178395543,-0.14901714708531938,-0.48772465221122846,-8.326672684688674e-17,1.8499321497623618,-8.673617379884035e-18,20.39066411558726,0.5297317255254406,0.4504126164243611,0.013862276417048248,0.005993381633150293
2,1,-0.2802036394079039,-0.29315155237113205,-0.1490171470853196,-0.050158558230028474,-1.3877787807814457e-16,-1.5265566588595902e-16,-3.122502256758253e-17,35.45530118959991,0.028884552498893146,0.9330162093172971,0.016653091110689848,0.02144614707311977
2,2,3.188034220943291,1.4382197280191598,-0.14901714708531913,0.9026163220959145,2.2548705772065194,0.9955844695693773,1.734723475976807e-17,68.25767775116879,0.010774824670776414,0.166184894963299,0.81978183614564,0.0032584442202845763
2,3,-0.2402213050765585,-0.08615710020795891,6.6993392240011564,-0.12835234899742898,0.013697932985993881,0.0861128321947427,1.003893137775395,32.763225419664266,0.06722707954981609,0.9147656530117975,0.007202945709733454,0.01080432172865291
global,0,-0.2753253166742415,1.3332674160195717,-0.1603270985805305,-0.44401842097811844,4.163336342344337e-17,1.0164590556098465,-3.469446951953614e-18,21.225682399528992,0.7525459472694713,0.2230942291377478,0.0063540316468040535,0.01800579194597675
global,1,-0.2753253166742416,-0.32208206824476504,-0.16032709858053049,-0.019363779424181497,0.0,5.551115123125783e-17,-3.469446951953614e-18,35.406951100190156,0.03311847951831133,0.924569946810481,0.01679993184423739,0.0255116418269704
global,2,3.2476688627711177,1.0513927363030864,-0.16032709858053037,0.9484737244202734,2.3313799183685564,0.7894666051527924,1.0408340855860843e-17,67.72771804240693,0.011098601450273679,0.15735715150668406,0.8276906827227553,0.0038535643202870363
global,3,-0.23828401212487602,-0.030841027421044227,6.226126241825615,-0.12737635170329978,0.012732975238115158,0.13132985842882303,1.0041276274566164,31.79988983050848,0.16246191386930903,0.8188146818741058,0.008510638299120084,0.010212765957465291
