session_type,from_state,to_state,probability,count,from_label,to_label
LTM2,0,0,0.6454545454545455,213,USV50-active,USV50-active
LTM2,0,1,0.3151515151515151,104,USV50-active,Quiescent
LTM2,0,2,0.021212121212121213,7,USV50-active,Lever-press
LTM2,0,3,0.01818181818181818,6,USV50-active,Distress-22kHz
LTM2,1,0,0.030867482703565728,58,Quiescent,USV50-active
LTM2,1,1,0.9228312932410857,1734,Quiescent,Quiescent
LTM2,1,2,0.019691325172964343,37,Quiescent,Lever-press
LTM2,1,3,0.026609898882384245,50,Quiescent,Distress-22kHz
LTM2,2,0,0.9193548387096774,57,Lever-press,USV50-active
LTM2,2,1,0.06451612903225806,4,Lever-press,Quiescent
LTM2,2,2,0.0,0,Lever-press,Lever-press
LTM2,2,3,0.016129032258064516,1,Lever-press,Distress-22kHz
LTM2,3,0,0.013297872340425532,5,Distress-22kHz,USV50-active
LTM2,3,1,0.1356382978723404,51,Distress-22kHz,Quiescent
LTM2,3,2,0.0026595744680851063,1,Distress-22kHz,Lever-press
LTM2,3,3,0.848404255319149,319,Distress-22kHz,Distress-22kHz
contextual_test,0,0,0.8283261802575107,193,USV50-active,USV50-active
contextual_test,0,1,0.09012875536480687,21,USV50-active,Quiescent
contextual_test,0,2,0.0815450643776824,19,USV50-active,Lever-press
contextual_test,0,3,0.0,0,USV50-active,Distress-22kHz
contextual_test,1,0,0.0625,10,Quiescent,USV50-active
contextual_test,1,1,0.89375,143,Quiescent,Quiescent
contextual_test,1,2,0.04375,7,Quiescent,Lever-press
contextual_test,1,3,0.0,0,Quiescent,Distress-22kHz
contextual_test,2,0,0.9259259259259259,25,Lever-press,USV50-active
contextual_test,2,1,0.037037037037037035,1,Lever-press,Quiescent
contextual_test,2,2,0.037037037037037035,1,Lever-press,Lever-press
contextual_test,2,3,0.0,0,Lever-press,Distress-22kHz
contextual_test,3,0,0.0,0,Distress-22kHz,USV50-active
contextual_test,3,1,0.0,0,Distress-22kHz,Quiescent
contextual_test,3,2,0.0,0,Distress-22kHz,Lever-press
contextual_test,3,3,0.0,0,Distress-22kHz,Distress-22kHz
cue_test,0,0,0.4251968503937008,54,USV50-active,USV50-active
cue_test,0,1,0.4566929133858268,58,USV50-active,Quiescent
cue_test,0,2,0.11023622047244094,14,USV50-active,Lever-press
cue_test,0,3,0.007874015748031496,1,USV50-active,Distress-22kHz
cue_test,1,0,0.030915576694411414,26,Quiescent,USV50-active
cue_test,1,1,0.9131985731272295,768,Quiescent,Quiescent
cue_test,1,2,0.03329369797859691,28,Quiescent,Lever-press
cue_test,1,3,0.022592152199762187,19,Quiescent,Distress-22kHz
cue_test,2,0,0.8409090909090909,37,Lever-press,USV50-active
cue_test,2,1,0.09090909090909091,4,Lever-press,Quiescent
cue_test,2,2,0.0,0,Lever-press,Lever-press
cue_test,2,3,0.06818181818181818,3,Lever-press,Distress-22kHz
cue_test,3,0,0.0,0,Distress-22kHz,USV50-active
cue_test,3,1,0.11515151515151516,19,Distress-22kHz,Quiescent
cue_test,3,2,0.012121212121212121,2,Distress-22kHz,Lever-press
cue_test,3,3,0.8727272727272727,144,Distress-22kHz,Distress-22kHz
